Start              	End                	Duration	Filename                                                                        	Procnum

File : ./pro_inter_daily_20180507000000.log
2018-05-07 00:02:46	2018-05-07 00:02:50	       4	AZF_MSSBHQH_1AZFHUA1_b00141059.dat_DECODED_2739_HW_MSC_SMS_IDD_ROAMIN           	206 
2018-05-07 00:02:50	2018-05-07 00:02:54	       4	AZF_MSSBHQH_2AZFHUA1_b00125481.dat_DECODED_2741_HW_MSC_SMS_IDD_ROAMIN           	238 
2018-05-07 00:02:54	2018-05-07 00:02:59	       5	MSSBTC02_2_AP2b00225655-2-02.dat_DECODED_3451_NET_SMS                           	462 
2018-05-07 00:02:59	2018-05-07 00:03:03	       4	MSSBHQ01_2_AP2b00234168-1-02.dat_DECODED_8665_NET_SMS                           	374 
2018-05-07 00:03:03	2018-05-07 00:03:07	       4	MSSBHQH03_2_AP2b00234335-3-02.dat_DECODED_2261_NET_SMS                          	386 
2018-05-07 00:03:07	2018-05-07 00:03:13	       6	MSSBTC02_2_AP2b00225656-2-02.dat_DECODED_3452_NET_SMS                           	551 
2018-05-07 00:03:13	2018-05-07 00:03:18	       5	MSSBHQH01_b01317669-1.dat_DECODED_8666_NET_SMS                                  	517 
2018-05-07 00:03:18	2018-05-07 00:03:22	       4	AZF_MSSBHQH_2AZFHUA2_AP2b00127269.dat_DECODED_2740_HW_MSC_SMS_IDD_ROAMIN        	219 
2018-05-07 00:03:22	2018-05-07 00:03:26	       4	AZF_MSSBHQH_3AZFHUA1_b00138767.dat_DECODED_2742_HW_MSC_SMS_IDD_ROAMIN           	232 
2018-05-07 00:03:26	2018-05-07 00:03:31	       5	MSSBHQH03_b01289177-3.dat_DECODED_2260_NET_SMS                                  	478 
2018-05-07 00:03:31	2018-05-07 00:03:35	       4	MSSBHQ01_2_AP2b00234169-1-02.dat_DECODED_8667_NET_SMS                           	427 
2018-05-07 00:03:35	2018-05-07 00:03:38	       3	AZF_MSSBHQH_3AZFHUA2_AP2b00109151.dat_DECODED_2743_HW_MSC_SMS_IDD_ROAMIN        	203 
2018-05-07 00:03:38	2018-05-07 00:03:42	       4	AZF_MSSBHQH_1AZFHUA2_AP2b00111827.dat_DECODED_2744_HW_MSC_SMS_IDD_ROAMIN        	234 
2018-05-07 00:03:42	2018-05-07 00:03:46	       4	MSSBHQH02_b01302005-2.dat_DECODED_3453_NET_SMS                                  	381 
2018-05-07 00:03:46	2018-05-07 00:03:49	       3	MSSBHQH03_2_AP2b00234336-3-02.dat_DECODED_2263_NET_SMS                          	343 
2018-05-07 00:03:49	2018-05-07 00:03:54	       5	MSSBHQH03_b01289178-3.dat_DECODED_2262_NET_SMS                                  	477 
2018-05-07 00:03:54	2018-05-07 00:03:58	       4	MSSBHQ01_2_AP2b00234170-1-02.dat_DECODED_8669_NET_SMS                           	384 
2018-05-07 00:03:58	2018-05-07 00:04:26	      28	CSVSM_AZF_vmcazbj12.bakcell.com_20180506173030Z.csv_n2_DECODED_6655_mco_xura_NET	473 
2018-05-07 00:04:26	2018-05-07 00:04:31	       5	MSSBHQH01_b01317670-1.dat_DECODED_8668_NET_SMS                                  	458 
2018-05-07 00:04:31	2018-05-07 00:04:35	       4	AZF_MSSBHQH_3AZFHUA1_b00138768.dat_DECODED_2745_HW_MSC_SMS_IDD_ROAMIN           	186 
2018-05-07 00:04:35	2018-05-07 00:04:39	       4	MSSBHQH03_b01289179-3.dat_DECODED_2264_NET_SMS                                  	455 
2018-05-07 00:04:39	2018-05-07 00:04:43	       4	MSSBHQH02_b01302006-2.dat_DECODED_3455_NET_SMS                                  	333 
2018-05-07 00:04:43	2018-05-07 00:04:47	       4	MSSBTC02_2_AP2b00225657-2-02.dat_DECODED_3454_NET_SMS                           	468 
2018-05-07 00:04:47	2018-05-07 00:04:51	       4	AZF_MSSBHQH_1AZFHUA1_b00141060.dat_DECODED_2746_HW_MSC_SMS_IDD_ROAMIN           	233 
2018-05-07 00:04:51	2018-05-07 00:04:56	       5	AZF_MSSBHQH_2AZFHUA2_AP2b00127270.dat_DECODED_2747_HW_MSC_SMS_IDD_ROAMIN        	255 
2018-05-07 00:04:56	2018-05-07 00:05:00	       4	AZF_MSSBHQH_1AZFHUA2_AP2b00111828.dat_DECODED_2750_HW_MSC_SMS_IDD_ROAMIN        	237 
2018-05-07 00:05:00	2018-05-07 00:05:11	      11	CSVSM_vmcazbj12.bakcell.com_20180506174331Z.csv_n2_DECODED_6935_mco_xura_NET    	824 
2018-05-07 00:05:11	2018-05-07 00:05:15	       4	MSSBHQ01_2_AP2b00234171-1-02.dat_DECODED_8671_NET_SMS                           	390 
